Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/axi_gpio_0_gpio_io_o,design_1_i/lepton_vospi_0_axis_m_tlast,design_1_i/lepton_vospi_0_axis_m_tuser,design_1_i/lepton_vospi_0_line_out[11:0],design_1_i/lepton_vospi_0_seg_num[3:0],design_1_i/lepton_vospi_0_axis_m_tvalid,design_1_i/lepton_vospi_0_axis_m_tdata[31:0],design_1_i/Net,design_1_i/lepton_vospi_0_line_val,design_1_i/lepton_vospi_0_current_state_wire[3:0],design_1_i/lepton_vospi_0_shift_reg_wire[15:0],design_1_i/lepton_vospi_0_mode[3:0]
335,79,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0111000000000010,1
336,80,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1110000000000100,1
337,81,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1110000000000100,1
338,82,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1110000000000100,1
339,83,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1110000000000100,1
340,84,0,0,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1110000000000100,1
341,85,0,1,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1100000000001001,1
342,86,0,1,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1100000000001001,1
343,87,0,0,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1100000000001001,1
344,88,0,0,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1100000000001001,1
345,89,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1100000000001001,1
346,90,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1000000000010010,1
347,91,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1000000000010010,1
348,92,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1000000000010010,1
349,93,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1000000000010010,1
350,94,0,0,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1000000000010010,1
351,95,0,1,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0000000000100101,1
352,96,0,1,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0000000000100101,1
353,97,0,0,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0000000000100101,1
354,98,0,0,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0000000000100101,1
355,99,0,0,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0000000000100101,1
356,100,1,1,0,1,1,0,0,37,0000,0,01110101000001000111010100110111,1,1,1,0000000001001011,1
357,101,0,1,0,1,1,0,0,37,0000,0,01110101000001000111010100110111,1,1,1,0000000001001011,1
358,102,0,0,0,1,1,0,0,37,0000,0,01110101000001000111010100110111,1,1,1,0000000001001011,1
359,103,0,0,0,1,1,0,0,37,0000,0,01110101000001000111010100110111,1,1,1,0000000001001011,1
360,104,0,0,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,1,1,0000000001001011,1
361,105,0,1,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000000010010110,1
362,106,0,1,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000000010010110,1
363,107,0,0,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000000010010110,1
364,108,0,0,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000000010010110,1
365,109,0,0,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000000010010110,1
366,110,0,1,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000000100101100,1
367,111,0,1,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000000100101100,1
368,112,0,0,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000000100101100,1
369,113,0,0,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000000100101100,1
370,114,0,0,0,1,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000000100101100,1
371,115,0,1,0,1,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000001001011001,1
372,116,0,1,0,1,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000001001011001,1
373,117,0,0,0,1,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000001001011001,1
374,118,0,0,0,1,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000001001011001,1
375,119,0,0,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000001001011001,1
376,120,0,1,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000010010110010,1
377,121,0,1,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000010010110010,1
378,122,0,0,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000010010110010,1
379,123,0,0,0,0,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000010010110010,1
380,124,0,0,0,1,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000010010110010,1
381,125,0,1,0,1,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000100101100101,1
382,126,0,1,0,1,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000100101100101,1
383,127,0,0,0,1,1,0,0,37,0000,0,01110101000001000111010100110111,1,0,1,0000100101100101,1
384,0,0,1,0,0,1,0,0,37,0000,0,01110100001111110111010000101110,1,0,1,1110111010000110,1
385,1,0,1,0,0,1,0,0,37,0000,0,01110100001111110111010000101110,1,0,1,1110111010000110,1
386,2,0,0,0,0,1,0,0,37,0000,0,01110100001111110111010000101110,1,0,1,1110111010000110,1
