Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/axi_gpio_0_gpio_io_o,design_1_i/lepton_vospi_0_axis_m_tlast,design_1_i/lepton_vospi_0_axis_m_tuser,design_1_i/lepton_vospi_0_line_out[11:0],design_1_i/lepton_vospi_0_seg_num[3:0],design_1_i/lepton_vospi_0_axis_m_tvalid,design_1_i/lepton_vospi_0_axis_m_tdata[31:0],design_1_i/Net,design_1_i/lepton_vospi_0_line_val,design_1_i/lepton_vospi_0_current_state_wire[3:0],design_1_i/lepton_vospi_0_shift_reg_wire[15:0],design_1_i/lepton_vospi_0_mode[3:0]
263,7,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000111010000,1
264,8,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000111010000,1
265,9,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000111010000,1
266,10,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000001110100000,1
267,11,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000001110100000,1
268,12,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000001110100000,1
269,13,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000001110100000,1
270,14,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000001110100000,1
271,15,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000011101000000,1
272,16,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,2,0000011101000000,2
273,17,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,2,0000011101000000,2
274,18,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,2,0000011101000000,2
275,19,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,2,0000011101000000,2
276,20,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,2,0000111010000000,2
277,21,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000111010000000,1
278,22,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000111010000000,1
279,23,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000111010000000,1
280,24,0,0,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000111010000000,1
281,25,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0001110100000001,1
282,26,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0001110100000001,1
283,27,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0001110100000001,1
284,28,0,0,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0001110100000001,1
285,29,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0001110100000001,1
286,30,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0011101000000010,1
287,31,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0011101000000010,1
288,32,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0011101000000010,1
289,33,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0011101000000010,1
290,34,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0011101000000010,1
291,35,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0111010000000100,1
292,36,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0111010000000100,1
