Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/reset_0_1,design_1_i/spi_master_0_line_val,design_1_i/spi_master_0_enb,design_1_i/spi_master_0_line_out[7:0],design_1_i/spi_master_0_seg_num[0:3],design_1_i/spi_master_0_shift_reg[0:15],design_1_i/spi_master_0_dinb[31:0],design_1_i/spi_master_0_current_state_wire[3:0],design_1_i/spi_master_0_web[3:0],design_1_i/spi_master_0_rstb
197,5,0,1,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
198,6,0,1,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
199,7,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
200,8,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
201,9,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
202,10,0,1,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
203,11,0,1,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
204,12,0,0,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
205,13,0,0,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
206,14,0,0,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
207,15,1,1,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
208,16,0,1,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
209,17,0,0,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
210,18,0,0,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
211,19,0,0,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
212,20,0,1,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
213,21,0,1,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
214,22,0,0,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
215,23,0,0,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
216,24,0,0,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
217,25,0,1,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
218,26,0,1,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
219,27,0,0,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
220,28,0,0,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
221,29,0,0,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
222,30,0,1,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
223,31,0,1,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
224,32,0,0,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
225,33,0,0,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
226,34,0,0,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
227,35,0,1,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
228,36,0,1,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
229,37,0,0,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
230,38,0,0,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
231,39,0,0,0,1,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
232,40,0,1,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
233,41,0,1,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
234,42,0,0,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
235,43,0,0,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
236,44,0,0,0,0,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
237,45,0,1,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
238,46,0,1,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
239,47,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
240,48,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
241,49,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
242,50,0,1,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
243,51,0,1,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
244,52,0,0,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
245,53,0,0,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
246,54,0,0,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
247,55,0,1,0,0,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
248,56,0,1,0,0,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
249,57,0,0,0,0,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
250,58,0,0,0,0,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
251,59,0,0,0,0,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
252,60,0,1,0,0,0,0,0,40,0101,0000100000001010,b8100000,2,0,0
253,61,0,1,0,0,0,0,0,40,0101,0000100000001010,b8100000,2,0,0
254,62,0,0,0,0,0,0,0,40,0101,0000100000001010,b8100000,2,0,0
255,63,0,0,0,0,0,0,0,40,0101,0000100000001010,b8100000,2,0,0
256,0,0,1,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
257,1,0,1,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
258,2,0,0,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
259,3,0,0,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
260,4,0,0,0,0,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
261,5,0,1,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
262,6,0,1,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
263,7,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
264,8,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
265,9,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
266,10,0,1,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
267,11,0,1,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
